Carga Horária,Categoria da Situação,Cor/Raça,Data de Início do Ciclo,Data de Fim Previsto do Ciclo,Faixa Etária,Fator Esforço Curso,Idade,Instituição,Mês de Ocorrência da Situação,Região,Renda Familiar,Sexo,Turno,UF,Unidade de Ensino,dia_inicio_ciclo,mes_inicio_ciclo,ano_inicio_ciclo,dia_fim_ciclo,mes_fim_ciclo,ano_fim_ciclo,dia_ocorrencia,mes_ocorrencia,ano_ocorrencia,delta_days
2600,0,parda,2018-03-01,2022-12-31,15 a 19 anos,1.067,19.0,UFV - CEDAF,2021-03-01,Região Sudeste,Não declarada,Masculino,Matutino,MG,Centro de Ensino e Desenvolvimento Agrário da UFV,1,3,2018,31,12,2022,1,3,2021,1096
2600,0,parda,2018-03-01,2022-12-31,15 a 19 anos,1.067,18.0,UFV - CEDAF,2021-03-01,Região Sudeste,Não declarada,Masculino,Matutino,MG,Centro de Ensino e Desenvolvimento Agrário da UFV,1,3,2018,31,12,2022,1,3,2021,1096
4560,0,parda,2018-04-06,2021-02-06,15 a 19 anos,1.067,19.0,CPII,2021-09-01,Região Sudeste,Não declarada,Masculino,Matutino,RJ,Campus Tijuca II,6,4,2018,6,2,2021,1,9,2021,1244
4560,0,parda,2018-04-06,2021-02-06,15 a 19 anos,1.067,19.0,CPII,2021-04-01,Região Sudeste,Não declarada,Masculino,Matutino,RJ,Campus Duque de Caxias,6,4,2018,6,2,2021,1,4,2021,1091
4560,0,preta,2017-04-07,2019-12-21,20 a 24 anos,1.067,21.0,CPII,2021-07-01,Região Sudeste,"1,5<RFP<=2,5",Masculino,Matutino,RJ,Campus Engenho Novo II,7,4,2017,21,12,2019,1,7,2021,1546
4560,0,preta,2018-04-06,2021-02-06,15 a 19 anos,1.067,19.0,CPII,2021-05-01,Região Sudeste,"1,5<RFP<=2,5",Masculino,Matutino,RJ,Campus Duque de Caxias,6,4,2018,6,2,2021,1,5,2021,1121
4560,0,preta,2018-04-06,2021-02-06,15 a 19 anos,1.067,19.0,CPII,2021-09-01,Região Sudeste,Não declarada,Masculino,Matutino,RJ,Campus Tijuca II,6,4,2018,6,2,2021,1,9,2021,1244
3560,1,parda,2017-02-20,2019-12-20,20 a 24 anos,1.067,20.0,UFPI - CABJ,2021-12-23,Região Nordeste,Não declarada,Masculino,Matutino,PI,Colégio Técnico de Bom Jesus da UFPI,20,2,2017,20,12,2019,23,12,2021,1767
7740,0,branca,2019-02-11,2021-12-17,15 a 19 anos,1.067,16.0,UFCG - ETSC,2021-12-01,Região Nordeste,"2,5<RFP<=3,5",Feminino,Matutino,PB,Escola Técnica de Saúde de Cajazeiras da UFCG,11,2,2019,17,12,2021,1,12,2021,1024
2460,0,parda,2018-02-06,2020-12-20,15 a 19 anos,1.067,18.0,UFRPE - CODAI,2021-06-01,Região Nordeste,"0<RFP<=0,5",Masculino,Matutino,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,6,2,2018,20,12,2020,1,6,2021,1211
