Carga Horária,Categoria da Situação,Código da Matrícula,Cor/Raça,Data de Início do Ciclo,Data de Fim Previsto do Ciclo,Faixa Etária,Fator Esforço Curso,Idade,Instituição,Mês de Ocorrência da Situação,Região,Renda Familiar,Sexo,Turno,UF,Unidade de Ensino
4560,Concluintes,72596563,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"RFP>3,5",Feminino,Vespertino,RJ,Campus Centro
4560,Concluintes,72485071,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"0<RFP<=0,5",Feminino,Vespertino,RJ,Campus Niterói
4560,Concluintes,72753752,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"1,5<RFP<=2,5",Feminino,Vespertino,RJ,Campus Realengo II
4560,Concluintes,72521967,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Vespertino,RJ,Campus Niterói
4560,Concluintes,72753754,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,Não declarada,Feminino,Vespertino,RJ,Campus Realengo II
4560,Concluintes,72523378,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"RFP>3,5",Feminino,Vespertino,RJ,Campus Niterói
2490,Evadidos,94847750,não declarada,2020-02-17,2022-12-24,15 a 19 anos,1.0,16.0,UFPI - CTF,2020-02-01,Região Nordeste,"1,5<RFP<=2,5",Feminino,Matutino,PI,Colégio Técnico de Floriano da UFPI
2490,Evadidos,94847914,não declarada,2020-02-17,2022-12-24,15 a 19 anos,1.0,15.0,UFPI - CTF,2020-02-01,Região Nordeste,"1,0<RFP<=1,5",Feminino,Matutino,PI,Colégio Técnico de Floriano da UFPI
2790,Evadidos,85091542,não declarada,2018-02-19,2020-12-22,15 a 19 anos,1.0,19.0,UFPI - CABJ,2020-03-01,Região Nordeste,Não declarada,Feminino,Matutino,PI,Colégio Técnico de Bom Jesus da UFPI
4560,Concluintes,72312281,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,"1,5<RFP<=2,5",Feminino,Matutino,RJ,Campus São Cristóvão III
4560,Concluintes,72752652,branca,2017-04-07,2019-12-21,20 a 24 anos,1.0,20.0,CPII,2020-01-01,Região Sudeste,"1,5<RFP<=2,5",Feminino,Matutino,RJ,Campus Realengo II
4560,Concluintes,72797826,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"1,0<RFP<=1,5",Feminino,Matutino,RJ,Campus Humaitá II
